Ident,ICAO,IATA,Name,Country or Area Code,Latitude,Longitude
00WI,,,Northern Lite,,44.30226135,-89.05114746
00WV,,,Lazy J. Aerodrome,,38.82902527,-79.86573029
00WY,,,Evans,,41.258564,-105.5895081
00X,,,Doral Resort & Country Club,,25.81287575,-80.33894348
00XS,,,L P Askew Farms,,33.03342819,-101.9346466
00Y,,,Kapaun-Wilson Field,,45.55050278,-96.45239258
01A,,,Purkeypile,,62.9401741,-152.2693939
01AL,,,Select 65A For Fse 01AL,,32.94595337,-86.51387024
01C,,,Grant,,43.34100342,-85.77502441
01CA,,,Lugo Substation,,34.36861038,-117.3700485
01CL,,,Select 61Q For Fse 01CL,,38.79989624,-120.734375
01CO,,,St Vincent General Hospital,,39.24526596,-106.2458572
01FA,,,Select 40X For Fse 01FA,,28.58971596,-81.14440155
01FD,,,Florida Hospital-Altamonte,United States,28.66666031,-81.36969757
01FL,,,Cedar Knoll Flying Ranch,United States,28.78196526,-81.15962219
01G,,,Perry Warsaw,,42.74135971,-78.05213928
01GA,,,Medical Center,,32.47930908,-84.97909546
01H,,,Mc Christy,,39.64309692,-89.14547729
01IA,,,Select 7C1 For Fse 01IA,,41.66113281,-90.74125671
01ID,,,Frank Field,,43.67219543,-116.771637
01II,,,Myers Field,,39.88504028,-86.50759888
01IL,,,Hoopeston Community Memorial Hospital,,40.45864868,-87.6594696
01IS,,,Select H59 For Fse 01IS,,39.01413727,-90.31816864
01J,,,Hilliard Airpark,United States,30.68599701,-81.90632629
01K,,,Caldwell Muni,United States,37.03635025,-97.58485413
01KS,,,Flying N Ranch,,38.54060364,-97.00408936
01LA,,,Barham,United States,32.63956833,-91.77372742
01LL,,,Schumaier RLA,United States,38.12475586,-89.46465302
01LS,,,Country Breeze,,30.72192001,-91.07736969
01M,,,Tishomingo Co,,34.49181747,-88.20121002
01MA,,,Digital Dascomb Road,,42.62509155,-71.18006897
01MD,,,Annapolis,,38.99894333,-76.45596313
01ME,,,Saint Peters,,46.77866364,-68.50027466
01MI,,,Flow Through Terminal,,43.04947281,-83.67967987
01MN,,,Barnes,,47.89963531,-92.55738831
01MO,,,Hp Troop C Hq,,38.64171982,-90.48428345
01MT,,,Crystal Lakes Resort,United States,48.78913116,-114.8804398
01NC,,,Topsail Airpark,United States,34.47527695,-77.58139038
01NE,,,Detour,United States,40.84361649,-100.6526413
01NH,,,Moore Airfield,,43.6424942,-72.08805847
01NJ,,,Albert Guido Memorial,,40.74176788,-74.13708496
01NV,,,Lantana Ranch,,38.76396942,-119.0278473
01NY,,,Vassar Hospital,United States,41.69140625,-73.93630219
01OH,,,Gillmor,,41.2821579,-83.14794159
01OI,,,Galion Community Hospital,,40.73061371,-82.80156708
01OK,,,Lawrence,,35.29448318,-98.63731384
01OR,,,Red & White Flying Service,,43.11956787,-121.0470276
01PA,,,Pine,,40.65562057,-80.05088806
01PN,,,Bierly - Personal Use,,40.9303627,-77.73861694
01PS,,,Norts Resort,,41.59888458,-76.02813721
01SC,,,Select 36A For Fse 01SC,,35.03207397,-81.2527771
01TA,,,Red Adair,,29.84050369,-95.5043869
01TE,,,Smith Field,,32.73738098,-96.42776489
01TN,,,Select 48M For Fse 01TN,,34.99591827,-89.7306366
01TS,,,St Joseph Hospital,,32.72846603,-97.32446289
01TX,,,Mims Farm,,32.38764191,-96.87750244
01U,,,Duckwater,United States,38.85339355,-115.6333008
01UT,,,Select 70V For Fse 01UT,,38.30831146,-109.3964996
01V,,,Aurora,,39.73281097,-104.6555328
01VA,,,Oehda,,39.12297821,-77.92596436
01W,,,Sawyer,United States,37.99067688,-75.59187317
01WA,,,Willapa Harbor,United States,46.6631546,-123.8117371
01WI,,,Prehn Cranberry Company,,44.0099411,-90.38835144
01WY,,,Select 81V For Fse 01WY,,44.347229,-104.8108063
01X,,,Jackson Memorial Hospital,United States,25.79283714,-80.21140289
01XS,,,Meadowood Ranch,United States,32.02019882,-95.7454834
02A,,,Gragg Wade Field,,32.85048294,-86.61143494
02AK,,,Rustic Wilderness,United States,61.87717438,-150.0968323
02AL,,,Bass Field,,30.37076378,-87.7644577
02AR,,,Select 43Q For Fse 02AR,,36.09063339,-94.20964813
02AZ,,,Westchester Farm Airstrip,,32.37638855,-109.9384155
02C,,,Capitol Drive,,43.09022141,-88.17816162
02CA,,,Swepi Beta Platform Ellen,United States,33.58252335,-118.128952
02CL,,,Conover Air Lodge,United States,34.76011276,-119.0630341
02CO,,,Mc Cullough,United States,37.64333344,-106.0466766
02FA,,,Select X42 For Fse 02FA,,28.52666473,-81.87480164
02FD,,,Doctors Memorial Hospital,,30.78518867,-85.67854309
02G,,,Columbiana Co,,40.67330551,-80.64141846
02GA,,,Doug Bolton Field,United States,34.20330048,-83.42922974
02ID,,,Select 65U For Fse 02ID,,44.55545044,-115.3051071
02II,,,King,,40.0615654,-86.21060181
02IL,,,Shissler Farm,,40.79642487,-89.98692322
02IN,,,Diamond P. Field,,40.2068634,-85.54180908
02IS,,,Condell Memorial Hospital,,42.27502441,-87.95701599
02K,,,Arrowhead,,38.69662476,-90.52015686
02KS,,,Jmq Landing,,39.22189331,-96.05545044
02L,,,Five Points Ranch,,36.42523193,-120.2655487
02LA,,,La State Police Troop G,,32.53126144,-93.66017914
02MA,,,Cuttyhunk,United States,41.41952896,-70.92694855
02MD,,,Select XK002L For Fse 02MD,,39.27060699,-76.57221985
02ME,,,Old Acton Airfield,,43.53700638,-70.92961884
02MI,,,Nitz,USA,42.53509903,-83.67720032
02MO,,,Troy Airpark,United States,39.04627228,-91.02835083
02MS,,,Select 26M For Fse 02MS,,34.10009766,-90.84677124
02MT,,,Select 4U2 For Fse 02MT,,47.23744202,-111.7424851
02NC,,,Oakridge Farm,,35.17702866,-81.64508057
02ND,,,Dresden Field,,48.80837631,-98.5246582
02NE,,,Benes Service,,41.07022858,-96.90182495
02NJ,,,Penske,,40.55732727,-74.46709442
02NV,,,Paiute Meadows,,41.30286026,-118.5984497
02NY,,,Hansen,,43.13256836,-75.65545654
02OH,,,Zimmerman,,41.37586212,-83.08322144
02OI,,,Murtha,,41.80134201,-80.56529999
02OK,,,Canon,,35.4583931,-97.52531433
02OR,,,Rowena Dell,,45.6811142,-121.3166046
02PA,,,Louis A Grant Inc,,40.46312714,-79.76893616
02PN,,,Peco Berwyn,,40.06955338,-75.45519257
02PR,,,Cuylers,,18.4533596,-66.36627197
02PS,,,Hughes,,41.89860535,-77.23125458
02Q,,,St Rose Hospital Helistop,,37.63326645,-122.0885773
02SC,,,Select 5J4 For Fse 02SC,,32.75849915,-81.224823
02T,,,Wise River,United States,45.77000046,-112.9804993
02TA,,,Matagorda Shore Facility,,28.72137451,-95.87384796
02TN,,,Ellis Field,,35.78004837,-86.58428192
02TS,,,Fwomc,,32.74763107,-97.37001801
02TX,,,Grand Valley Lands,,32.23330688,-97.4006424
02UT,,,Select 39U For Fse 02UT,,41.36243057,-113.8430634
02V,,,Pine View,,39.34437561,-104.5817032
02VA,,,The Greenhouse,United States,38.43547821,-77.8572998
02W,,,Deck Airpark,United States,35.74116516,-78.9249115
02WA,,,Cawleys South Prairie,,47.15341949,-122.092804
02WI,,,Beer,,45.03192139,-92.65672302
02XS,,,Seidel Ranch,,30.14685249,-97.66204834
02Y,,,Greenbush Muni,,48.68616104,-96.19003296
03A,,,Southern Aero Sports,,34.62473297,-81.89900208
03AZ,,,Thompson Intl Aviation,United States,31.43098068,-110.087883
03B,,,Mansfield Muni,United States,37.12677765,-92.62161255
03CA,,,Grossmont Hospital,,32.77977371,-117.0058594
03CL,,,Moskowite,,38.45800781,-122.2049713
03CO,,,Kugel-Strong,United States,40.21039581,-104.7437286
03D,,,Memphis Mem,,40.44725037,-92.22694397
03FA,,,Select 8X5 For Fse 03FA,,27.35308838,-81.40812683
03FD,,,Tharpe,,30.82805252,-85.73104858
03FL,,,Ranger,United States,26.68371964,-80.18659973
03GA,,,Youngs,,31.58498383,-83.72999573
03I,,,Clarks Dream Strip,,39.64370728,-83.01725006
03IA,,,Select 7C4 For Fse 03IA,,41.5819397,-92.46129608
03ID,,,Select 68U For Fse 03ID,,44.79432297,-116.5326462
03II,,,Davis Field,United States,37.96250153,-87.77838135
03IL,,,Wix,,41.4022522,-87.81773376
03IN,,,Select 66I For Fse 03IN,,40.18003082,-86.01248169
03IS,,,St Anthonys,,38.90504837,-90.17343903
03K,,,State Fairgrounds,,39.83755112,-89.63760376
03KS,,,Valley Grain,United States,39.86477661,-95.2641449
03KY,,,Flying H Farms,,37.79154968,-87.54101563
03LA,,,Damien,,30.19964027,-91.12788391
03LL,,,Thornton,,39.3404007,-88.29143524
03M,,,Lakeside Marina,United States,44.31194305,-69.89186859
03MA,,,Hadley,,42.39259338,-72.55213928
03ME,,,Select 54B For Fse 03ME,,44.08422852,-70.62728119
03MI,,,Harold Miller,,43.55085754,-83.86219788
03MN,,,Nauerth Land Ranch,,43.62519836,-95.2253418
03MO,,,Cahoochie,,37.88434982,-93.13196564
03MT,,,Select 78S For Fse 03MT,,47.27077866,-111.7216492
03N,,UTK,Utirik,Marshall Islands,11.22227955,169.8515472
03NC,,,Pilots Ridge,United States,34.1043396,-77.90416718
03ND,,,Olafson Brothers,,48.62636948,-97.82998657
03NE,,,Hyde Ranch,,41.54629898,-99.33063507
03NJ,,,At&T,,40.66871262,-74.41070557
03NY,,,Talmage Fld,United States,40.95928192,-72.71757507
03OH,,,Gibbs Field,United States,41.41860199,-83.01763916
03OI,,,Marymount Hospital,,41.42088699,-81.59984589
03OK,,,Sahoma Lake,,36.04122925,-96.16226196
03OR,,,Powwatka Ridge,United States,45.85297394,-117.4843903
03PA,,,Collegeville,United States,40.15867996,-75.4634552
03PN,,,Browns,,39.81627655,-77.26651001
03PS,,,Ziggys Field,,40.84797668,-77.90653992
03Q,,,Bottimore Ranch,,38.30345154,-121.2517853
03S,,,Sandy River,,45.40113068,-122.2287293
03T,,,Gay Hill Farm,,30.26238632,-96.50041199
03TA,,,Select 03T For Fse 03TA,,30.26271248,-96.50024414
03TE,,,Select 13T For Fse 03TE,,27.49114227,-98.66946411
03TS,,,Shannon Med Ctr Downtown,United States,31.46582222,-100.4339294
03TX,,,M D K Field,,29.58162117,-95.30715942
03UT,,,Select U23 For Fse 03UT,,37.12111664,-109.9852295
03VA,,,Whipoorwill Springs,,38.66430283,-77.57998657
03WA,,,Spangle Field,,47.40833282,-117.3725586
03WI,,,Zink,,44.02748108,-88.88197327
03WY,,,Otter Creek Ranch,,43.87293243,-107.3391571
03X,,,Emergency,,25.81565285,-80.14143372
04A,,,Frank Sikes,,31.73638535,-86.2624588
04AZ,,,Select Q32 For Fse 04AZ,,36.15417099,-109.5506592
04CA,,,Gray Butte Field,United States,34.56666565,-117.6703339
04CL,,,Hunts Sky Ranch,,33.08093262,-116.4399872
04CO,,,Denver Water Department,,39.72943115,-105.0094299
04F,,,De Leon Municipal,,32.09863281,-98.5256958
04FA,,,Select 6X6 For Fse 04FA,,25.55871391,-80.51506042
04FD,,,Hall Farm,,29.91989136,-82.90335083
04FL,,,Cross Creek Farms,,29.23868179,-81.22199249
04G,,,Lansdowne,,41.13047409,-80.61958313
04H,,,Herren,,40.0880661,-90.88626862
04I,,,Columbus Southwest,United States,39.9114151,-83.1885376
04IA,,,Select 7C8 For Fse 04IA,,41.08834839,-92.05461884
04ID,,,Select U85 For Fse 04ID,,43.87766266,-116.5370789
04II,,,Turkey Run,,41.13058472,-84.99507141
04IL,,,Schertz,,40.6375351,-89.00799561
04IS,,,Van Gorder,,40.17789841,-88.56895447
04KS,,,Robinson Industries,,38.97888947,-95.21969604
04KY,,,Natchez Trace Farm,,37.13489532,-85.7897644
04LA,,,Loggy Bayou Plantation,,32.27323914,-93.40675354
04LL,,,Brunner,,42.13522339,-88.28756714
04M,,,Calhoun County,United States,33.93008423,-89.34327698
04MA,,,Goddard,United States,42.81217957,-71.13969421
04ME,,,Select 68B For Fse 04ME,,44.66672516,-69.89394379
04MI,,,Rapids Airway,,42.53446198,-84.62923431
04MN,,,Helblad,,47.98538589,-94.68704224
04MO,,,Airpark Pvt,,39.30115509,-91.45246887
04MS,,,Nicks Flying Svc,,32.93957138,-90.83835602
04MT,,,Pluhar,,47.13756561,-106.4844284
04NC,,,Western Wake Medical Center,,35.74000168,-78.78221893
04ND,,,Hahn Field,,46.72746277,-97.4411087
04NE,,,Mc Connell Field,United States,41.15999222,-101.2990494
04NJ,,,Emmanuel,,39.59640121,-75.23335266
04NV,,,Kingston Ranch,United States,35.76142883,-115.6503601
04NY,,,Klaverack,United States,42.26370239,-73.69754791
04OH,,,Bossow,,41.24766159,-81.10147095
04OI,,,Herr II,,41.42002869,-83.79804993
04OK,,,Stillwater Medical Center,,36.11532974,-97.07948303
04OR,,,Collins Landing Strip,,44.74783325,-120.202179
04PN,,,Strawbridge & Clothier Exton,,40.03066254,-75.63021088
04PS,,,Schneiders Field,,40.51509857,-75.16988373
04Q,,,Select 9CL2 For Fse 04Q,,36.87161636,-121.3371506
04TA,,,Capitol National Bank Building,,30.27104187,-97.74472809
04TN,,,Hensley Airpark,,36.18330383,-82.67967224
04TS,,,Hummingbird,,30.55353165,-97.60611725
04TX,,,Pocock,,31.73196793,-97.36909485
04U,,,Kirkeby Ranch,,38.90408325,-114.3904953
04UT,,,Select XK04UT For Fse 04UT,,37.00832748,-110.7951355
04V,,,Saguache Muni,United States,38.09926605,-106.1743317
04W,,,Field Of Dreams,United States,46.02297974,-92.89491272
04WA,,,Ox Meadows,,47.58139801,-117.4384766
04WI,,,Dutch Gap Airstrip,,42.52262115,-88.01674652
04WY,,,Select 84V For Fse 04WY,,44.83124542,-105.3502808
04XS,,,Napiers,,32.58208084,-97.14250946
04Y,,,Hawley Muni,,46.88377762,-96.35060883
05A,,,Cascabel Air Park,United States,32.30069733,-110.3643951
05AK,,,Wasilla Creek Airpark,United States,61.66828537,-149.1871643
05AR,,,Select 68M For Fse 05AR,,36.1042366,-94.15437317
05B,,,Van Buren,United States,47.15421295,-67.92533112
05C,,,Griffith Merrillville,,41.51984024,-87.39950562
05CA,,,Lost Hills Sheriffs Station,United States,34.13652039,-118.7146835
05CL,,,Pope Valley,,38.61019135,-122.3911743
05CO,,,Select 45CO For Fse 05CO,,40.21917343,-104.9835053
05D,,,New Town Muni,United States,47.96695709,-102.4779587
05E,,,Ranta Strip,,33.85337448,-112.6533127
05F,,,Select XK008H For Fse 05F,,31.42126846,-97.79696655
05FD,,,Aventura,,25.96092606,-80.13921356
05FL,,,Charlton Strip,,26.52285385,-81.40830994
05G,,,Williams Field,,43.34104156,-82.83600616
05GA,,,Beaver Ruin,,33.93065643,-84.15325165
05IA,,,Select 1Y6 For Fse 05IA,,43.13746262,-93.06826019
05ID,,,Select XK05ID For Fse 05ID,,45.91407776,-114.8356628
05II,,,Reichhart,,41.02796936,-84.99716187
05IL,,,Classic Landings,,41.15619659,-88.01677704
05IN,,,Select 68I For Fse 05IN,,39.64198685,-86.50416565
05IS,,,Hardy,,39.72515106,-89.26397705
05J,,,Bonner Field,,30.54981995,-87.65011597
05KS,,,Darbro Field,,37.2661438,-95.95994568
05KY,,,Select I30 For Fse 05KY,,37.64535141,-84.2829895
05LA,,,Gregs Flying Service,,32.26528931,-91.69859314
05LL,,,Midwest,,41.74892044,-87.93505859
05M,,,Pauls Valley General Hospital,,34.71674728,-97.21696472
05MA,,,Bentley,,42.69120407,-70.91227722
05MD,,,Breezecroft,,39.25004578,-76.20589447
05MN,,,Sowieja,,44.6344223,-93.07341003
05MT,,,Sportsmans Field,,45.35419083,-111.735321
05NC,,,Brunswick Novant Med Ctr,United States,34.02994919,-78.26056671
05ND,,,Klessig Strip,,47.20779419,-97.47216034
05NE,,,Mc Kay,,41.72152328,-98.30960083
05NJ,,,Paulus Hook Pier,United States,40.71340561,-74.0320282
05NY,,,Oswego County,,43.5520134,-76.09020233
05OI,,,Dorlon Airpark,,41.28776169,-81.96259308
05OK,,,Hawk Haven,,35.85337067,-97.56839752
05OR,,,Peacock Ranch,,45.44125748,-117.3513031
05PA,,,Philadelphia Market Street,,39.95483398,-75.17823029
05PN,,,State Police Area III,United States,40.29721832,-76.85816193
05Q,,,Camanche Skypark,,38.26333618,-120.923378
05R,,,San Jacinto Methodist Hospital,,29.73772621,-94.98020172
05S,,,Vernonia Airfield,United States,45.85218048,-123.2429428
05T,,,Hilde-Griff Field,,30.7220192,-97.79193115
05TA,,,Brandes Air Field,,29.80911446,-96.26587677
05TE,,,Select 05T For Fse 05TE,,30.72010994,-97.79140472
05TN,,,Select 49M For Fse 05TN,,35.55701828,-89.55285645
05TS,,,Dew Drop,,33.12927628,-97.35947418
05TX,,,Circle A Ranch,,32.12905121,-97.40454102
05U,,,Eureka,,39.60374832,-116.0036087
05UT,,,Oljato,United States,37.03318024,-110.3156052
05V,,,Blanca,United States,37.41091156,-105.5512619
05VA,,,Providence,,37.22412872,-78.41937256
05W,,,Riverside Campground,,35.58136749,-76.51515961
05WA,,,Sacred Heart Medical Center Helistop,,47.64822388,-117.4135437
05WI,,,Ames - Private,,42.65037918,-88.74594116
05XS,,,Johnson Memorial,,33.079216,-91.54270172
05Y,,,Henning Muni,United States,46.30405807,-95.44060516
06A,,,Moton Fld Muni,,32.46047211,-85.68003082
06AR,,,Select 76M For Fse 06AR,,35.54451752,-92.18487549
06AZ,,,Select P10 For Fse 06AZ,,35.79166794,-110.4234619
06B,,,Select ME27 For Fse 06B,,44.90678787,-68.80503845
06C,,,Schaumburg Regl,,41.98934174,-88.10124207
06CA,,,Sce Solar I,,34.87081909,-116.834198
06D,,,Rolla Muni,United States,48.88441849,-99.62075043
06FA,,,William P. Gwinn,United States,26.90815353,-80.32841492
06FD,,,Williams Road Helistop,,26.41758156,-81.8242569
06FL,,,Morton Plant Hospital,,27.95335388,-82.80426788
06GA,,,Smith,,33.75344086,-84.16213989
06H,,,Hawarden,,42.99860001,-96.48086548
06I,,,Patoka Reservoir Landing Area,,38.43316269,-86.69110107
06IA,,,Rich Field,,41.8406601,-91.83434296
06ID,,,Select 77U For Fse 06ID,,43.46266556,-116.3590088
06II,,,Bill Shank,,40.02299118,-86.03700256
06IL,,,Thudwhomp,,41.39958191,-90.9907074
06ILX,,,Fse 06IL Humm,,41.59875107,-88.86994171
06IN,,,Select 70I For Fse 06IN,,39.28281403,-87.30362701
06IS,,,Sinele Strip,,40.54644394,-91.27526093
06K,,,Phillips,,40.0749054,-91.7902832
06KS,,,Riverside Hospital Airlift,United States,37.69642639,-97.37207031
06KY,,,Falcon,,37.52592468,-83.34515381
06LA,,,Panther Helicopters Inc,,29.84604073,-90.02784729
06M,,,Eupora,United States,33.534832,-89.31311035
06MA,,,The Barn,,42.69064331,-71.60895538
06MI,,,W A Foote Memorial Hospital,,42.25142288,-84.39245605
06MN,,,Pike Field,,47.6499176,-92.41777039
06MO,,,Noahs Ark,United States,39.23091888,-94.80166626
06MT,,,Torgerson,,48.55787659,-112.1093445
06N,,,Randall,United States,41.4320755,-74.39201355
06NC,,,Tailwinds,,34.82693481,-78.93023682
06ND,,,Fitterers Strip,,46.74813843,-101.6693115
06NE,,,St Marys Hospital,,40.68000031,-95.86167145
06NH,,,Cole Farm,,42.92828369,-70.97354126
06NJ,,,Chemical Bank - New Jersey Na,,39.95011139,-74.9996109
06NY,,,Murphy Field,,42.84230804,-76.44515991
06O1,,,Saint Elizabeth Medical Center,,41.11478043,-80.65702057
06OH,,,Hal Joy Airfield,,41.50912476,-80.59114075
06OI,,,Green Acres,,39.73412323,-84.38220215
06OK,,,Albert Lodge,,36.54174423,-94.83356476
06OR,,,Hayden Mountain,,45.46520996,-123.0804443
06Q,,,Ranch Airstrip,,38.33769226,-120.9763718
06R,,,Grawunder Field,United States,29.94097137,-96.24523926
06S,,,Acme Field,United States,48.7135582,-122.1958695
06SN,,,Select K14 For Fse 06SN,,37.58390427,-97.25309753
06TA,,,Glaser Field,,30.90855217,-97.11767578
06TE,,,Ainsworth,United States,30.31270027,-95.02720642
06TN,,,Select M10 For Fse 06TN,,35.6972847,-86.95694733
06TS,,,Roscoe Mcconnico,,32.12044525,-96.17945862
06TX,,,Select XK009A For Fse 06T,,30.05754852,-95.81289673
06U,,,Jackpot Hayden Fld,,41.97583008,-114.65802
06VA,,,Mount Horeb Field,,38.24880981,-78.85499573
06VT,,,Meadowlands,,43.13349533,-73.07714844
06WA,,,N A Degerstrom Yard,,47.68628311,-117.1979828
06WI,,,Young - Private,,45.66200638,-92.45021057
06WN,,,Western Airpark,United States,46.92498779,-122.5530396
06X,,,Parrish Brothers - Private,,27.8743515,-80.51642609
06XS,,,Diamond,,29.68356133,-95.14465332
06Y,,,Herman Muni,United States,45.82980347,-96.15994263
07A,,,Franklin Fld,,32.1668129,-85.80967712
07AR,,,Select 91M For Fse 07AR,,35.19452286,-92.80016327
07B,,,Blue Hill,,44.44567871,-68.56655884
07C,,,Select Kgwb For Fse 07C,,41.30716324,-85.06434631
07CA,,,West Side Hospital,,35.13885498,-119.4509506
07CL,,,Select O97 For Fse 07CL,,39.49766159,-121.7713623
07D,,,Tackaberry,,43.0633316,-82.72576904
07E,,,Navajo Nr 5,,34.88943481,-109.4275971
07F,,,Gladewater Muni,USA,32.52883148,-94.97174835
07FA,,OCA,Ocean Reef Club,United States,25.32431412,-80.27573395
07FD,,,Flying G Ranch,,30.41797638,-83.2845459
07FL,,,Southwest Florida Regional Medical Cen,,26.6053524,-81.85952759
07GA,,,Alcovy,,33.6742897,-83.76303864
07H,,,Schnelle,,40.09844208,-91.39772797
07I,,,Lake Monroe,,39.0583992,-86.44610596
07IA,,,Select 5K5 For Fse 07IA,,42.83330536,-94.8669281
07ID,,,Select 0U5 For Fse 07ID,,42.27824783,-113.3050003
07II,,,Jennings Hospital,United States,39.01068497,-85.64060974
07IL,,,Haley Field,,41.49233627,-88.20144653
07IN,,,Select 71I For Fse 07IN,,39.57365417,-85.91387177
07K,,,Central City Muni,United States,41.11162949,-98.05091858
07KS,,,Heape Field,,37.73421478,-96.93749237
07KY,,,Blue Lick,,38.08019257,-85.69342041
07L,,,Select MA11 For Fse 07L,,42.07487106,-72.59120178
07LA,,,Air Oil Inc Nr 1,,29.93714905,-90.1836853
07LL,,,Dunlap,,38.72504807,-87.74487305
07MA,,,West Pond,,41.91704559,-70.70948029
07MD,,,Baughers Orchard,,39.60630798,-77.05290222
07MI,,,Scott Airstrip,United States,43.86413574,-85.02536774
07MN,,,Dairyview,,44.05432892,-95.90950012
07MO,,,Lake Sexton,United States,38.6555748,-93.62413025
07MT,,,Glasgow Industrial,United States,48.42110825,-106.5277023
07N,,,Bermudian Valley Airpark,United States,40.01670074,-77.00408173
07NC,,,Hawks Meadow,United States,34.83273315,-80.75025177
07ND,,,Backfisch Strip,,47.15565109,-102.0644913
07NJ,,,Palisades General Hospital,United States,40.79366684,-73.99486542
07OH,,,Tennessee Gas,,39.93729401,-81.68346405
07OK,,,Pleasant Valley,,34.63339996,-99.03456116
07OR,,,Bruces,,45.41976166,-122.6214294
07PA,,,Select 8N5 For Fse 07PA,,40.75842285,-75.53295898
07Q,,,Jackson Lake,,39.46240234,-120.5660477
07R,,,Bishop Muni,,27.61016655,-97.75252533
07TA,,,Salaika Aviation,,29.24051666,-95.3446579
07TE,,,Cuddihy Fld,,27.72275925,-97.5111084
07TN,,,Corntassel,,35.56824493,-84.24095917
07TS,,,Cross-Country Estates,,30.62498856,-97.57357788
07TX,,,Pecks,,33.18400574,-96.44804382
07V,,,Cuchara Valley At La Veta,,37.5238266,-105.0092697
07VA,,,Alpha Hotel,,36.81943893,-78.78352356
07W,,,Brickhouse Fld,,34.41371918,-77.94952393
07WA,,,Deaconess Medical Center,,47.6518364,-117.4246597
07WI,,,Bartell Strip,,42.96455383,-88.39147949
07Y,,,Hill City-Quadna Mountain,United States,46.95628357,-93.59745026
08A,,,Wetumpka Muni,,32.52762604,-86.33084869
08AR,,,Select 66M For Fse 08AR,,34.5806427,-91.96819305
08B,,,Merrymeeting Field,United States,44,-69.88713837
08C,,,Riverview,United States,42.9367218,-85.80575562
08CA,,,Pg & E Co. Placerville Svc Center,,38.69490433,-120.8271561
08CL,,,Select 08Q For Fse 08CL,,37.85964203,-120.5543671
08CT,,,Seavairs Landing,,41.89577103,-73.09314728
08D,,,Stanley Muni,United States,48.30080032,-102.4063492
08F,,,City Of Coalgate,,34.5317421,-96.23387909
08FA,,,Select 7X3 For Fse 08FA,,26.57979202,-81.48368835
08FD,,,Sunniland Ranch,,27.36304665,-80.77374268
08FL,,,J. H. Hendrie Farms,,27.08434296,-81.32830048
08G,,,Salt Fork Lodge,,40.11090469,-81.52622986
08GA,,,Sapelo Island,,31.42557526,-81.28476715
08IA,,,Select 7C9 For Fse 08IA,,41.41054535,-92.88378906
08ID,,,Select 0U6 For Fse 08ID,,43.56932068,-116.7768021
08II,,,Lagrange Hospital,,41.64588165,-85.42636871
08IL,,,Harms Airstrip,,41.57625198,-89.79399109
08IS,,,Select H60 For Fse 08IS,,37.97580719,-89.20285797
08K,,,Harvard State,United States,40.65133286,-98.07988739
08KS,,,Alderson,,39.03471375,-97.58093262
