"icao","lat","lon","type","size","name","city","state","country","elev","surfaceType","longestRwy","services"
"03AZ","31.4333992","-110.0839996","civil","1097","Thompson Intl Aviation","Hereford","Arizona","United States","4274","1","3599","0"
"03B","37.127799988","-92.6210022","civil","914","Mansfield Mun","Mansfield","Missouri","United States","1499","1","2999","0"
"03CL","38.458198547","-122.2050018","civil","671","Moskowite","Napa","California","United States","899","4","2199","0"
"03CO","40.216701508","-104.7509995","civil","1219","Kugel-Strong","Platteville","Colorado","United States","4949","1","3999","0"
"03D","40.447299957","-92.22699738","civil","1006","Memphis Meml","Memphis","Missouri","United States","812","2","3299","0"
"03FA","27.353099823","-81.40809631","civil","610","Lake Persimmon Airstrip","Lake Placid","Florida","United States","69","5","1999","0"
"03FD","30.828800201","-85.73100281","civil","610","Tharpe","Bonifay","Florida","United States","114","5","1999","0"
"03GA","31.584999084","-83.72920227","civil","488","Young's","Sumner","Georgia","United States","384","5","1599","0"
"03I","39.644199371","-83.01820374","civil","716","Clarks Dream Strip","Circleville","Ohio","United States","679","5","2349","0"
"03IA","41.58190155","-92.46130371","civil","610","East Field","Montezuma","Iowa","United States","953","5","1999","0"
"03ID","44.794300079","-116.5329971","civil","549","Flying Y Ranch","Council","Idaho","United States","3179","5","1799","0"
"03II","37.962001801","-87.77890015","civil","305","Davis Field","Mount Vernon","Indiana","United States","464","5","999","0"
"03IL","41.402301788","-87.8167038","civil","792","Wix","Monee","Illinois","United States","749","5","2599","0"
"03IN","40.180000305","-86.01249695","civil","762","Heinzman","Arcadia","Indiana","United States","849","5","2499","0"
"03KY","37.791698456","-87.54139709","civil","701","Flying H Farms","Henderson","Kentucky","United States","384","5","2299","0"
"03M","44.320899963","-69.88950348","water","999","Lakeside Marina","East Winthrop","Maine","United States","164","11","3999","0"
"03MA","42.393100739","-72.55200195","civil","488","Hadley","Hadley","Massachusetts","United States","149","5","1599","0"
"03ME","44.084201813","-70.62729645","civil","732","Maple Ridge","Harrison","Maine","United States","555","5","2399","0"
"03MN","43.625198364","-95.22440338","civil","591","Nauerth Land Ranch","Lakefield","Minnesota","United States","1429","5","1939","0"
"03MO","37.884498596","-93.13159943","civil","671","Cahoochie","Urbana","Missouri","United States","1009","5","2199","0"
"03MT","47.270801544","-111.7220001","civil","1341","Cascade","Cascade","Montana","United States","3579","5","2399","0"
"03N","11.233300209","169.8500061","civil","732","Utirik","Utirik Island","","United States","3","2","2399","3"
"03NC","34.104301453","-77.90419769","civil","838","Pilots Ridge","Carolina Beach","North Carolina","United States","34","1","2749","0"
"03ND","48.626399994","-97.82900238","civil","792","Olafson Brothers","Edinburg","North Dakota","United States","1044","5","2599","0"
"03NE","41.546398163","-99.33119965","civil","671","Hyde Ranch","Comstock","Nebraska","United States","2429","5","2199","0"
"03NY","40.958400726","-72.71679688","civil","610","Talmage Fld","Riverhead","New York","United States","94","5","1999","0"
"03OH","41.418399811","-83.01740265","civil","1311","Gibbs Field","Fremont","Ohio","United States","579","5","2199","0"
"03OK","36.04119873","-96.16139984","civil","366","Sahoma Lake","Sapulpa","Oklahoma","United States","889","5","1199","0"
"03OR","45.855400085","-117.4840012","civil","899","Powwatka Ridge","Troy","Oregon","United States","3339","2","2949","0"
"03PN","39.816799164","-77.2664032","civil","488","Browns","Gettysburg","Pennsylvania","United States","524","5","1599","0"
"03PS","40.849998474","-77.9056015","civil","832","Ziggy's Field","Bellefonte","Pennsylvania","United States","1049","5","1129","0"
"03Q","38.304100037","-121.2509995","civil","884","Bottimore Ranch","Herald","California","United States","69","8","2899","0"
"03S","45.401798248","-122.2289963","civil","645","Sandy River","Sandy","Oregon","United States","703","5","2114","0"
"03TA","30.262699127","-96.50019836","civil","579","Gay Hill Farm","Gay Hill","Texas","United States","504","5","1899","0"
"03TE","27.491100311","-98.66950226","civil","1067","Barronena Ranch","Hebbronville","Texas","United States","599","5","3499","0"
"03UT","37.120800018","-109.9860001","civil","2515","A Z Minerals Corporation","Mexican Hat","Utah","United States","5314","6","4999","3"
"03VA","38.664600372","-77.57969666","civil","686","Whipoorwill Springs","Nokesville","Virginia","United States","249","5","2249","0"
"03WA","47.40819931","-117.3720016","civil","853","Spangle Field","Spangle","Washington","United States","2439","6","2799","0"
"03WI","44.027500153","-88.88089752","civil","457","Zink","Berlin","Wisconsin","United States","879","5","1499","0"
"03WY","43.875","-107.3379974","civil","701","Otter Creek Ranch","Ten Sleep","Wyoming","United States","4899","5","1199","0"
"04A","31.736299515","-86.26249695","civil","1414","Sikes","Luverne","Alabama","United States","299","1","4639","0"
"04AZ","36.154201508","-109.5510025","civil","1280","Chinle","Chinle","Arizona","United States","5514","4","4199","0"
"04CA","34.563899994","-117.6750031","civil","1524","Gray Butte Fld","Gray Butte Fld","California","United States","3019","1","4999","0"
"04CL","33.081699371","-116.4410019","civil","579","Hunt's Sky Ranch","Julian","California","United States","2309","2","1899","0"
"04F","32.098800659","-98.52529907","civil","732","De Leon Muni","De Leon","Texas","United States","1292","1","2399","0"
"04FA","25.558700562","-80.51509857","civil","799","Richards Field","Homestead","Florida","United States","8","5","2619","0"
"04FD","29.920000076","-82.90260315","civil","427","Hall Farm","Branford","Florida","United States","44","5","1399","0"
"04FL","29.239400864","-81.22200012","civil","914","Cross Creek Farms","Ormond","Florida","United States","29","5","2999","0"
"04G","41.130500793","-80.61959839","civil","937","Lansdowne","Youngstown","Ohio","United States","1043","1","3073","0"
"04I","39.911201477","-83.188797","civil","810","Columbus Southwest","Columbus","Ohio","United States","919","5","2656","0"
"04IA","41.088298798","-92.05460358","civil","704","Middlekoop","Packwood","Iowa","United States","800","5","2309","0"
"04ID","43.877700806","-116.5370026","civil","914","Lanham Field","Emmett","Idaho","United States","2342","4","2999","0"
"04II","41.130599976","-84.99410248","civil","418","Turkey Run","New Haven","Indiana","United States","764","5","1371","0"
"04IL","40.637500763","-89.00700378","civil","518","Schertz","Hudson","Illinois","United States","754","5","1699","0"
"04IS","40.178600311","-88.56900024","civil","671","Van Gorder","Mansfield","Illinois","United States","727","5","2199","0"
"04KY","37.135101318","-85.78939819","civil","518","Natchez Trace Farm","Hiseville","Kentucky","United States","709","1","1699","0"
"04LA","32.273200989","-93.40599823","civil","792","Loggy Bayou Plantation","Ringgold","Louisiana","United States","274","5","2599","0"
"04LL","42.136100769","-88.28759766","civil","1128","Brunner","West Dundee","Illinois","United States","749","5","3699","0"
"04M","33.930099487","-89.34279633","civil","975","Calhoun Co","Pittsboro","Mississippi","United States","382","1","3199","0"
"04MA","42.809799194","-71.1391983","civil","640","Goddard","Haverhill","Massachusetts","United States","199","5","2099","0"
"04ME","44.666698456","-69.89389801","civil","594","Beech Hill","Mercer","Maine","United States","624","5","1949","0"
"04MI","42.534500122","-84.62830353","civil","610","Rapids Airway","Eaton Rapids","Michigan","United States","879","5","1999","0"
"04MN","47.985801697","-94.68689728","civil","762","Helblad","Kelliher","Minnesota","United States","1194","5","2499","0"
"04MO","39.301200867","-91.45149994","civil","792","Airpark Pvt","Vandalia","Missouri","United States","766","5","2599","0"
"04MS","32.939601898","-90.83730316","civil","1036","Nick's Flying Service Inc","Rolling Fork","Mississippi","United States","99","1","3399","0"
"04MT","47.137500763","-106.487999","civil","1219","Pluhar","Cohagen","Montana","United States","2714","5","2099","0"
"04ND","46.727500916","-97.44010162","civil","619","Hahn Field","Embden","North Dakota","United States","1063","5","2029","0"
"04NE","41.159999847","-101.2990036","civil","762","McConnell Field","Sarben","Nebraska","United States","3034","5","2499","0"
"04NJ","39.596801758","-75.23349762","civil","1067","Emmanuel","Elmer","New Jersey","United States","154","5","3499","0"
"04NV","35.755500793","-115.6650009","civil","988","Kingston Ranch","Sandy Valley","Nevada","United States","2619","1","3239","0"
"04NY","42.262298584","-73.69619751","civil","1585","Klaverack","Hudson","New York","United States","249","5","5199","0"
"04OH","41.247699738","-81.10070038","civil","671","Bossow","Garrettsville","Ohio","United States","1079","5","2199","0"
"04OI","41.420101166","-83.79720306","civil","762","Herr Ii","Grand Rapids","Ohio","United States","664","5","2499","0"
"04OR","44.749900818","-120.2009964","civil","457","Collins Landing Strip","Mitchell","Oregon","United States","1499","4","1499","0"
"04PS","40.515399933","-75.16960144","civil","764","Schneiders Field","Revere","Pennsylvania","United States","539","5","2507","0"
"04Q","36.871601105","-121.336998","civil","914","Christensen Ranch","Hollister","California","United States","379","1","2999","0"
"04TN","36.183300018","-82.67890167","civil","686","Hensley Airpark","Chuckey","Tennessee","United States","1429","5","2249","0"
"04TX","31.732200623","-97.36889648","civil","610","Pocock","China Spring","Texas","United States","564","5","1999","0"
"04UT","37.008300781","-110.7949982","civil","1128","Navajo Mountain","Navajo Mountain Trdng Post","Utah","United States","6159","4","3699","0"
"04V","38.097198486","-106.1689987","civil","2361","Saguache Mun","Saguache","Colorado","United States","7825","5","7744","0"
"04WA","47.581798553","-117.4369965","civil","549","Ox Meadows","Spokane","Washington","United States","2344","5","1799","0"
"04WI","42.523399353","-88.01670074","civil","549","Dutch Gap Airstrip","Bristol","Wisconsin","United States","769","5","1799","0"
"04WY","44.833301544","-105.3509979","civil","2652","Thrush Ranch","Weston","Wyoming","United States","3521","5","3599","0"
"04Y","46.883899689","-96.35089874","civil","1040","Hawley Mun","Hawley","Minnesota","United States","1208","1","3410","0"
"05A","32.300098419","-110.3649979","civil","838","Cascabel","Tucson","Arizona","United States","3373","4","2749","0"
"05AK","61.666099548","-149.1820068","civil","488","Wasilla Creek Airpark","Palmer","Alaska","United States","274","5","1599","0"
"05AR","36.104198456","-94.15440369","civil","579","Razorback","Fayetteville","Arkansas","United States","1259","5","1899","0"
"05B","47.158901215","-67.93199921","water","999","Van Buren","Van Buren","Maine","United States","439","11","3999","0"
"05C","41.519599915","-87.40110016","civil","1221","Griffith-Merrillville","Griffith","Indiana","United States","633","1","4006","0"
"05CL","38.6106987","-122.3909988","civil","1128","Pope Valley","Pope Valley","California","United States","617","1","3699","0"
"05CO","40.219200134","-104.9840012","civil","808","Rancho De Aereo","Mead","Colorado","United States","4977","5","2649","0"
"05D","47.966999054","-102.4779968","civil","914","New Town Mun","New Town","North Dakota","United States","1924","1","2999","0"
"05F","31.421300888","-97.79699707","civil","1036","City-Co","Gatesville","Texas","United States","904","1","3399","0"
"05FL","26.523099899","-81.40830231","civil","1463","Charlton Strip","La Belle","Florida","United States","35","5","3199","0"
"05IA","43.137500763","-93.06829834","civil","747","Spotts Field","Nora Springs","Iowa","United States","1154","5","2449","0"
"05ID","45.914100647","-114.8359985","civil","610","Running Creek Ranch","Grangeville","Idaho","United States","2968","5","1999","7"
"05II","41.028701782","-84.99720001","civil","549","Reichhart","New Haven","Indiana","United States","794","5","1799","0"
"05IL","41.156700134","-88.01670074","civil","792","Classic Landings","Bonfield","Illinois","United States","634","5","2599","0"
"05IN","39.641998291","-86.5042038","civil","610","Cooper","Belleville","Indiana","United States","859","5","1999","0"
"05IS","39.725898743","-89.26399994","civil","610","Hardy","Mount Auburn","Illinois","United States","604","5","1999","0"
"05KS","37.266201019","-95.959198","civil","716","Darbro Field","Elk City","Kansas","United States","944","5","2349","0"
"05KY","37.645401001","-84.28299713","civil","732","Berea-Richmond","Berea","Kentucky","United States","993","5","2399","0"
"05LA","32.265300751","-91.69779968","civil","671","Greg's Flying Service","Baskin","Louisiana","United States","75","5","2199","0"
"05MD","39.250099182","-76.2052002","civil","823","Breezecroft","Chestertown","Maryland","United States","19","5","2699","0"
"05MN","44.634399414","-93.07240295","civil","805","Sowieja","Farmington","Minnesota","United States","919","5","2639","0"
"05MT","45.354099274","-111.7350006","civil","1118","Sportsmans Field","Ennis","Montana","United States","4965","5","3666","0"
"05ND","47.207801819","-97.47119904","civil","518","Klessig Strip","Galesburg","North Dakota","United States","1207","5","1699","0"
"05NE","41.722198486","-98.30899811","civil","978","McKay","Spalding","Nebraska","United States","2009","5","3209","0"
"05OI","41.288398743","-81.96260071","civil","610","Dorlon Airpark","Columbia Station","Ohio","United States","829","5","1999","0"
"05OK","35.853401184","-97.56749725","civil","671","Hawk Haven","Crescent","Oklahoma","United States","1074","5","2199","0"
"05OR","45.441501617","-117.3509979","civil","792","Peacock Ranch","Enterprise","Oregon","United States","3499","5","2599","0"
"05Q","38.263801575","-120.9229965","civil","686","Camanche Skypark","Ione","California","United States","519","1","2249","0"
"05S","45.851501465","-123.2419968","civil","896","Vernonia","Vernonia","Oregon","United States","646","5","2939","0"
"05TA","29.809099197","-96.26509857","civil","518","Brandes Air Field","Sealy","Texas","United States","275","5","1699","0"
"05TE","30.722099304","-97.79139709","civil","457","Hilde-Griff Field","Geronimo","Texas","United States","949","5","1499","0"
"05TN","35.556999207","-89.55290222","civil","1219","Thurmond Glenn Fld","Covington","Tennessee","United States","284","5","3999","0"
"05TS","33.129299164","-97.3585968","civil","518","Dew Drop","Justin","Texas","United States","749","5","1699","0"
"05TX","32.129199982","-97.40419769","civil","632","Circle 'a' Ranch","Blum","Texas","United States","607","5","2074","0"
"05U","39.604198456","-116.0049973","civil","2225","Eureka","Eureka","Nevada","United States","5953","1","7299","0"
"05UT","37.033298492","-110.3170013","civil","1204","Oljato","Oljato","Utah","United States","4837","1","3949","0"
"05V","37.41109848","-105.552002","civil","1875","Blanca","Blanca","Colorado","United States","7719","4","6149","0"
"05VA","37.224201202","-78.41860199","civil","610","Providence","Farmville","Virginia","United States","444","5","1999","0"
"05W","35.581600189","-76.51550293","civil","534","Riverside Campground","Belhaven","North Carolina","United States","3","5","1751","0"
"05WI","42.651100159","-88.74590302","civil","549","Ames Private","Darien","Wisconsin","United States","957","5","1799","0"
"05XS","33.079299927","-91.54319763","civil","792","Johnson Memorial","Wilmot","Arkansas","United States","104","5","2599","0"
"05Y","46.303798676","-95.4394989","civil","1000","Henning Mun","Henning","Minnesota","United States","1454","5","3279","0"
"06A","32.46049881","-85.68000031","civil","1525","Moton Mun","Tuskegee","Alabama","United States","263","1","5003","0"
"06AR","35.544498444","-92.18489838","civil","884","Bondair","Higden","Arkansas","United States","498","5","2899","0"
"06AZ","35.791698456","-110.4229965","civil","1280","Polacca","Polacca","Arizona","United States","5572","1","4199","0"
"06B","44.907001495","-68.80500031","water","999","Lucky Landing Marina And Spb","Bangor","Maine","United States","114","11","14999","3"
"06C","41.989299774","-88.10119629","civil","1158","Schaumburg Regl","Chicago/Schaumburg","Illinois","United States","800","2","3799","0"
"06D","48.884300232","-99.62090302","civil","2041","Rolla Mun","Rolla","North Dakota","United States","1821","1","4294","0"
"06FA","26.908399582","-80.3289032","civil","2135","William P Gwinn","Jupiter","Florida","United States","27","1","7002","0"
"06I","38.4333992","-86.69110107","water","3499","Patoka Reservoir Landing Area","French Lick","Indiana","United States","535","11","15999","3"
